Sample name,lat,lon,kb,meas_type,meas_number,add_info,Time Option,250,125,63,31.5,16,8,4,2,1,0.5,0.25,0.125,0.063,0.031,0.0039,6.00E-05,<0.5mm,<1mm,<2mm,dm,d50,sort_coef,total_mass,sieving_error
KB07 FC 1 1 Dez2019,48.18741,12.42881,KB07,FC,1,1,Dez2019,1,0.932986454,0.644747466,0.426572172,0.304655961,0.203911366,0.13698753,0.093836907,0.069256302,0.055889477,0.025208576,0.006997398,0.003050148,0,0,0,5.588947699,6.925630214,9.383690679,55.22105499,42.43801398,4.426403131,55735,8.97E-05
KB07 FC 1 2 Dez2019,48.18741,12.42881,KB07,FC,1,2,Dez2019,1,1,0.70029554,0.389575497,0.263836647,0.168323482,0.108275121,0.07119828,0.051585169,0.041509941,0.02001612,0.006045137,0.002821064,0,0,0,4.150994089,5.158516926,7.119828049,47.96613974,43.04993515,3.523456483,37220,-0.001075847
KB07 FC 2 1 Dez2019,48.18772,12.42866,KB07,FC,2,1,Dez2019,1,0.916146646,0.779543682,0.467433697,0.334925897,0.232351794,0.155908736,0.100331513,0.070787832,0.056357254,0.030031201,0.008287832,0.003022621,0,0,0,5.635725429,7.078783151,10.03315133,48.91202677,34.89112777,4.646879996,51280,0.00019497
KB07 FC 2 2 Dez2019,48.18772,12.42866,KB07,FC,2,2,Dez2019,1,1,0.793811452,0.531954887,0.35410642,0.22686524,0.146761134,0.098033545,0.076778485,0.065934066,0.036871024,0.009253904,0.003325622,0,0,0,6.593406593,7.677848467,9.80335454,38.57752584,28.71504065,4.08195649,34580,0
KB19 FC 1 1 Dez2019,48.23546,12.52821,KB19,FC,1,1,Dez2019,1,1,0.699901175,0.332381684,0.230482047,0.188206874,0.163720215,0.152410234,0.145272867,0.137037444,0.048314483,0.013835511,0.006258922,0,0,0,13.70374437,14.5272867,15.24102339,49.2293524,46.32260233,5.260241761,45535,-0.00054933
KB19 FC 1 2 Dez2019,48.23546,12.52821,KB19,FC,1,2,Dez2019,1,1,0.655877914,0.341103471,0.225725306,0.190005031,0.171893342,0.1631729,0.157806473,0.148415227,0.061881603,0.013583767,0.005031025,0,0,0,14.84152272,15.78064733,16.31728995,51.06661379,47.90583378,8.282414109,29815,0.000670354
KB19 FC 2 1 Dez2019,48.23513,12.52821,KB19,FC,2,1,Dez2019,1,0.932399583,0.858548443,0.627503183,0.421229309,0.266813289,0.193425165,0.156268087,0.139367982,0.122930895,0.027317977,0.007176757,0.002893853,0,0,0,12.29308948,13.93679824,15.62680866,38.36973354,21.91905163,5.281466336,43195,0.000231455
KB19 FC 2 2 Dez2019,48.23513,12.52821,KB19,FC,2,2,Dez2019,1,1,0.847235761,0.530845286,0.334076034,0.20721348,0.148447291,0.126305528,0.116975352,0.106809637,0.034117811,0.0076591,0.002645871,0,0,0,10.68096365,11.69753516,12.63055285,36.36687826,29.07024062,3.635390972,35905,0
KB24 FC 1 1 Dez2019,48.2433,12.58097,KB24,FC,1,1,Dez2019,1,1,0.871651387,0.570782236,0.390641743,0.269913085,0.193475414,0.142874152,0.107036552,0.088701036,0.031313252,0.007619955,0.003214668,0,0,0,8.870103584,10.7036552,14.28741517,33.08062908,25.40961666,4.757213479,41995,0.000238067
KB24 FC 1 2 Dez2019,48.2433,12.58097,KB24,FC,1,2,Dez2019,1,1,0.790178112,0.455986822,0.313497375,0.230309894,0.175229074,0.131679193,0.099660249,0.082466797,0.02851848,0.007824565,0.003088644,0,0,0,8.246679708,9.966024915,13.16791928,40.86947322,35.78026802,4.876341819,48565,0.000205867
KB07 FC 1 1 Mar2020,48.18742222,12.42871667,KB07,FC,1,1,Mar2020,1,0.937416242,0.596756902,0.39587242,0.262128116,0.173679979,0.112838381,0.069284374,0.047440365,0.037121415,0.018091664,0.00576253,0.002680247,0,0,0,3.712141517,4.744036451,6.928437416,58.60321229,48.34623082,3.891971977,46195,-0.001626193
KB07 FC 1 2 Mar2020,48.18744722,12.42868611,KB07,FC,1,2,Mar2020,1,0.867594868,0.59022659,0.33019383,0.234643735,0.157794158,0.108517609,0.073710074,0.055555556,0.043953044,0.023341523,0.007234507,0.003003003,0,0,0,4.395304395,5.555555556,7.371007371,67.39946183,52.72309711,3.801525098,36630,0.000409333
KB07 FC 2 1 Mar2020,48.18773611,12.42862222,KB07,FC,2,1,Mar2020,1,1,0.688263711,0.443734015,0.289997158,0.194515487,0.127593066,0.08397272,0.065785735,0.057686843,0.033816425,0.009235578,0.003552145,0,0,0,5.768684285,6.578573458,8.397271952,46.66756158,38.97821034,3.972529056,35190,-0.000597117
KB07 FC 2 2 Mar2020,48.18774167,12.42865,KB07,FC,2,2,Mar2020,1,1,0.746682189,0.460535506,0.30419092,0.211874272,0.142840512,0.096507567,0.069848661,0.054016298,0.027473807,0.010360885,0.003958091,0,0,0,5.401629802,6.984866123,9.650756694,43.1969668,35.98230269,4.161023793,42950,0.000581734
KB08 FC 1 1 Mar2020,48.203425,12.44133333,KB08,FC,1,1,Mar2020,1,0.876813346,0.54811412,0.333051257,0.237306576,0.169245648,0.123791103,0.097074468,0.086194391,0.080633462,0.053675048,0.013781431,0.00459381,0,0,0,8.063346228,8.619439072,9.707446809,68.21834075,56.72906127,4.055039541,41360,0.000483325
KB08 FC 1 2 Mar2020,48.20336111,12.44121667,KB08,FC,1,2,Mar2020,1,1,0.506669321,0.43619351,0.352179972,0.280111487,0.216205455,0.160262791,0.133784591,0.111885327,0.076050169,0.048974716,0.031256221,0,0,0,11.18853275,13.37845909,16.02627912,53.62974332,60.92443503,7.271204809,25115,0.003373016
KB08 FC 2 1 Mar2020,48.20295278,12.44200556,KB08,FC,2,1,Mar2020,1,0.636846405,0.473754085,0.288194444,0.209252451,0.151245915,0.107638889,0.080065359,0.065870098,0.057904412,0.032169118,0.008169935,0.002859477,0,0,0,5.790441176,6.587009804,8.006535948,95.63197594,73.816531,4.601179315,48960,0.00061237
KB08 FC 2 2 Mar2020,48.202875,12.44186667,KB08,FC,2,2,Mar2020,1,0.96193265,0.647327965,0.517569546,0.389458272,0.269948755,0.18045388,0.120241581,0.093887262,0.080893119,0.034590044,0.01409224,0.007320644,0,0,0,8.089311859,9.388726208,12.02415813,48.62332853,29.37428571,5.524845852,27320,-0.00018305
KB15 FC 1 1 Mar2020,48.23745,12.49421389,KB15,FC,1,1,Mar2020,1,1,0.756733647,0.504489098,0.364400741,0.243551375,0.159897392,0.118284167,0.097762577,0.082941428,0.046601112,0.009833262,0.002992732,0,0,0,8.294142796,9.77625766,11.8284167,40.65547333,31.00330621,4.60367744,35085,-0.000713063
KB15 FC 1 2 Mar2020,48.23740833,12.49423889,KB15,FC,1,2,Mar2020,1,1,0.855147899,0.572806906,0.339088485,0.208962803,0.146502476,0.118700013,0.104735305,0.094579155,0.06195252,0.009013584,0.003046845,0,0,0,9.45791545,10.47353053,11.87000127,34.94596916,26.67151005,3.577483077,39385,0.001521105
KB15 FC 3 1 Mar2020,48.23747778,12.49377778,KB15,FC,3,1,Mar2020,1,1,0.906987724,0.606586402,0.420089707,0.299575071,0.214117092,0.161000944,0.133734655,0.114022663,0.068106704,0.014990557,0.004131256,0,0,0,11.40226629,13.37346553,16.10009443,29.91799625,22.6414557,5.376516706,42360,0.000236016
KB15 FC 3 2 Mar2020,48.23747778,12.49377778,KB15,FC,3,2,Mar2020,1,1,0.91440501,0.644467641,0.422755741,0.281210856,0.19874739,0.155323591,0.133820459,0.116701461,0.074947808,0.017327766,0.005636743,0,0,0,11.67014614,13.38204593,15.53235908,28.79264077,21.40018832,4.984500015,23950,0.000208725
KB19 FC 1 1 Mar2020,48.23549167,12.52815278,KB19,FC,1,1,Mar2020,1,1,0.743330591,0.331766365,0.18098484,0.124809026,0.109531085,0.103419908,0.101422024,0.09989423,0.07615466,0.017745916,0.004113292,0,0,0,9.989422964,10.14220237,10.34199083,48.45295597,44.78490862,2.585421257,42545,0.000587268
KB19 FC 1 2 Mar2020,48.23549167,12.52815278,KB19,FC,1,2,Mar2020,1,0.908605737,0.606537692,0.29006004,0.166777852,0.13102068,0.118745831,0.112341561,0.109272849,0.106470981,0.076851234,0.021214143,0.005203469,0,0,0,10.64709807,10.92728486,11.2341561,64.57861043,53.05933811,2.77018188,37475,0.00106624
